C000010,C000010_times,C000013,C000013_times,C000014,C000014_times,C000023,C000023_times,C000022,C000022_times,C000020,C000020_times
投资,18,质量,22,结束,19,刘裕,22,销售,25,开发,31
设计,18,时间,22,排名,19,自由,21,关系,25,海洋,31
北京,18,病情,22,反击,19,作者,21,提高,25,人口,30
设备,18,诊断,22,进球,19,事情,21,经验,24,参加,30
收入,18,检验,22,布朗,19,萨特,21,大学生,24,人民,30
每股,18,全科,22,公开赛,18,国内,20,编辑,24,高考,29
玻璃,18,药物,21,青岛,18,人民,20,学生,24,实行,29
搜索,18,看病,21,替下,18,提供,20,享受,24,同学,29
聚君,18,食物,21,巴博萨,18,南朝鲜,20,单位,24,研究,28
来说,17,手术,21,张宁,17,人类,20,奖励,24,治理,28
资金,17,原因,21,健身,17,每斤,20,市场,23,知识,28
竞争,17,社区,21,快速,17,设定,20,办公室,23,科学,27
生产,17,目的,20,阎相闯,17,这一,19,社会,23,工程,27
苏宁,17,相关,20,谢杏芳,16,现象,19,学校,23,国际,27
显示,17,销售,20,实力,16,几个,19,白领,23,世纪,27
未来,17,影响,20,绿城,16,记者,19,同学,23,水资源,27
合作,17,不少,20,前场,16,朝鲜,19,回答,23,二氧化碳,27
开发,17,收入,20,得球,16,二奶,19,空姐,23,政治,27
第三,16,广告,20,主将,16,林场,19,岗位,22,基础,26
增长,16,水牛,20,夺得,15,男人,18,培养,22,提出,26
上海,16,解决,19,一场,15,主席,18,原因,22,信息,26
数据,16,教授,19,击败,15,读者,18,方式,22,主持人,26
基板,16,药业,19,发挥,15,战争,18,应聘,22,地区,26
英语,16,方法,19,世界,15,年代,18,提出,22,变化,25
模式,16,中心,19,优势,15,官员,18,目标,22,来源,25
信息网,16,减少,19,阵容,15,拥有,17,感觉,21,配置,25
优势,15,人体,19,本场,15,利益,17,搜索,21,协调,25
战略,15,因素,19,情况,15,解决,17,招聘会,21,父母,25
相关,15,生活,19,新华社,15,只能,17,参加,21,路由器,25
客户,15,护理液,19,拿下,15,自然,17,成功,21,慕永国,25
第一季度,15,管理,18,打出,15,正是,17,发现,20,北京,24
芯片,15,调查,18,蔡赟,15,知青,17,代表,20,记者,24
亏损,15,价格,18,付海峰,15,作战,17,别人,20,现象,24
互联网,15,特别,18,休息,15,志愿军,17,穿着,20,农业,24
智能手机,15,报告,18,黄牌,15,一位,17,特别,20,作用,23
语音,15,白带,18,开出,15,整容,17,师母,20,标准,23
用友,15,阴道,18,战胜,14,莲花,17,实习,19,过程,23
