O1,O1_times,P1,P1_times,R3,R3_times,F7,F7_times,G8,G8_times,C8,C8_times
维数,10,计算,11,抑制,16,市场,15,数字化,17,文科,11
奇异,10,时间,11,压力,16,商务英语,15,文献资料,16,提高,10
设备,10,国家,11,软骨,16,专业,15,逻辑,16,事业单位,10
结核病,9,空间,11,工艺,15,健康,15,畲族,16,学习,10
实施,9,红外,11,残留,15,中医药,15,效率,15,管理,10
系数,9,图像,11,基因,15,行业,14,能力,15,推进,10
局部,9,演化,10,试验,15,人才,14,需求,15,思想,10
融合,9,模式,10,感染,15,相关,14,篮球,15,服务,10
临界,9,实验,10,作用,15,体系,14,资源,14,理论,10
变电,9,气体,10,成功,15,策略,13,水平,14,依法,10
翻转,9,大气,10,鉴定,15,营销,13,推动,14,振兴,10
全局,8,环境,10,体外,15,互联网,12,基础,14,科学,9
探究,8,行星,10,材料,14,数据,12,景区,14,保障,9
研究生,8,生成,10,发展,14,融合,12,现代化,14,指标,9
顶点,8,仿真,10,设计,14,教育,12,构建,13,浙江,9
解析,8,西藏,10,系统,14,居家,12,完善,13,数字化,9
水平,8,拉萨,10,研究进展,14,消费,11,作用,13,特色,9
深度,8,中子星,10,伤口,14,对策,11,探讨,13,更新,9
教学改革,8,电路,10,孔径,14,理念,11,顾客,13,清查,9
价值,8,设计,9,水平,13,深度,11,深度,13,地区,9
有限,8,乌托邦,9,功能,13,资源,11,实践,13,变动,9
变换,8,物理,9,骨组织,13,需求,11,产业,13,单元,9
微分方程,8,时代,9,模拟,13,因素,11,转型,13,生活,9
检修,8,宇宙学,9,图像,13,网络,11,武术,13,背景,9
肿瘤,7,引力波,9,筛选,12,宇宙,11,相关,12,残疾人,9
条件,7,星象,9,原核,12,周期,11,运动员,12,国家统计局,8
通信,7,传统,9,基础,12,地位,10,满意度,12,总队,8
创新能力,7,波段,9,巨核细胞,12,面临,10,社会,12,智慧,8
理念,7,地球,9,治疗,12,客户,10,效果,12,调查队,8
社会,7,理论,9,能力,12,技术,10,目标,11,总书记,8
数据,7,磁荷,9,过程,11,提高,10,人才,11,统计数据,8
估计,7,冰晶石,9,大肠,11,高职,10,理念,11,追踪调查,8
时间,7,变形,9,埃希菌,11,政策,10,高质量,11,估计,8
文章,7,并行,9,分化,11,农村,10,背景,11,路径,8
模式,7,磁场,9,肿瘤,11,知识,10,国际,11,乡镇,8
框架,7,意义,8,纳米,11,卓越,10,体育赛事,11,融合,8
策略,7,光谱仪,8,位移,11,老年人,10,故事,11,推动,8
形式,7,厚度,8,分离,11,俄罗斯,10,夜间,11,战略,8
生成,7,作用,8,解剖学,11,农业,10,民族,11,思政,8
故障,7,背景,8,力度,11,时代,9,体文旅,11,就业,8
系统,6,脉冲星,8,设置,10,现状,9,体系,10,以赛,8
性质,6,调制,8,恢复,10,教学模式,9,地区,10,改革,7
创新,6,辐射,8,定位,10,方式,9,推进,10,统计调查,7
体系,6,中国科学院,8,调控,10,社会,9,下降,10,统计局,7
加权,6,历日,8,分子,10,外贸企业,9,提高,10,主题,7
向量,6,模拟,8,血小板,10,贸易,9,价值,10,企业,7
分量,6,领域,8,综述,10,购买,9,趋势,10,人口,7
混合,6,照片,8,信号,10,平台,9,认同,10,简称,7
四面体,6,算法,8,假病毒,10,产品,9,现实,10,区域,7
体积,6,黄钾,8,高于,10,系统,9,营养,10,差异,7
计算,6,月壤,8,表面,10,价值链,9,产业链,10,中华人民共和国,7
下界,6,熔盐,8,钻石,10,原油,9,社区,10,设计,7
方程解,6,卫星,8,受力,10,大豆,9,游戏,10,幸福美好,7
基础,6,日照,8,功能化,10,进口,9,患者,10,强化,7
意义,6,读出,8,动力学,10,商科,9,辽宁,10,内蒙古,7
讨论,6,角度,7,医师,10,陕西,9,体育新闻,10,杭州,7
构建,6,火星车,7,人工,10,绿色,8,打造,9,大脑,7
专业,6,历史,7,人体,9,特征,8,精致,9,培养,7
非线性,6,现象,7,算法,9,流失,8,露营,9,国际,6
方案,6,干涉,7,病理,9,实施,8,建议,9,领域,6
过程,6,加权,7,快速,9,生产性,8,活动,9,单位,6
党建,6,切趾,7,通路,9,发现,8,因素,9,干部,6
