class,text,preprocess,split_and_filter
O1,高等数学导研式教学探索 高等数学/学习能力/创新能力/导研式教学 传统的教授方式以讲授法为主，欠缺数学思维的锻炼，学习能力和创新能力的培养。“导研式”教学法是以往发现式教学、探究式教学、研究性学习和导学式教学的完善和发展，还教于学，变教为导，变学为研。以等价无穷小量的应用为例，探索高等数学导研式教学模式，提出选取知识模块、框架设计、适量引导的实施策略，变教为导，变学为研，提高学生学习能力和创新能力。,高等数学导研式教学探索 高等数学 学习能力 创新能力 导研式教学 传统的教授方式以讲授法为主 欠缺数学思维的锻炼 学习能力和创新能力的培养 导研式 教学法是以往发现式教学 探究式教学 研究性学习和导学式教学的完善和发展 还教于学 变教为导 变学为研 以等价无穷小量的应用为例 探索高等数学导研式教学模式 提出选取知识模块 框架设计 适量引导的实施策略 变教为导 变学为研 提高学生学习能力和创新能力 ,高等数学 导研式 探索 高等数学 学习 能力 创新能力 导研式 传统 教授 方式 讲授法 欠缺 数学 思维 锻炼 学习 能力 创新能力 培养 导研式 教学法 以往 发现 探究 研究性 学习 导学式 完善 发展 教于 变教 为导 变学 为研 等价 无穷小 为例 探索 高等数学 导研式 教学模式 选取 知识 模块 框架 设计 适量 引导 实施 策略 变教 为导 变学 为研 提高 学习 能力 创新能力
O1,"Maass形式的傅里叶系数在算术级数中的渐近性（英文） 傅里叶系数/Maass尖形式/Rankin-Selberg/L-函数 自守形式理论是现代数论的重要课题.自守形式的傅里叶系数蕴含了深刻的数论性质,其在数论中有许多应用.设f是本原Maass尖形式,λ_f(n)是它在尖点无穷远处的第n个傅里叶系数.结合经典的解析方法和一些本原自守L-函数的性质,本文研究了全模群上Maass尖形式的傅里叶系数在算术级数上的分布性质,得到了相应的渐近公式.", 形式的傅里叶系数在算术级数中的渐近性 英文 傅里叶系数 尖形式 函数 自守形式理论是现代数论的重要课题 自守形式的傅里叶系数蕴含了深刻的数论性质 其在数论中有许多应用 设 是本原 尖形式 是它在尖点无穷远处的第 个傅里叶系数 结合经典的解析方法和一些本原自守 函数的性质 本文研究了全模群上 尖形式的傅里叶系数在算术级数上的分布性质 得到了相应的渐近公式 ,形式 傅里叶 系数 算术级数 渐近 英文 傅里叶 系数 形式 函数 形式 理论 数论 课题 形式 傅里叶 系数 蕴含 深刻 数论 性质 数论 中有 本原 形式 尖点 无穷 远处 傅里叶 系数 经典 解析 本原 函数 性质 全模 群上 形式 傅里叶 系数 算术级数 分布 性质 渐近 公式
O1,“关注为本采纳模式”对专业混合式教育实施水平的实践研究 关注为本采纳模式/高等数学/混合式教学/实施水平 为了提升高校混合式教学实施水平，以高等数学课程为例，开展了“关注为本采纳模式”对高等数学混合式教学实施水平的实践研究。首先对“关注为本采纳模式”作出了系统的阐释；其次全面分析当前高校混合式教学实施水平，获取混合式教学实施现状及相关情况。在此基础上，坚持可行性、客观性以及实效性的原则，最后通过制定混合式教学实施水平参照标准、建立混合式教学实施水平实践评价体系、修订高等数学混合式教学内容，有效地提升高校学生的学习深度与质量水平。, 关注为本采纳模式 对专业混合式教育实施水平的实践研究 关注为本采纳模式 高等数学 混合式教学 实施水平 为了提升高校混合式教学实施水平 以高等数学课程为例 开展了 关注为本采纳模式 对高等数学混合式教学实施水平的实践研究 首先对 关注为本采纳模式 作出了系统的阐释 其次全面分析当前高校混合式教学实施水平 获取混合式教学实施现状及相关情况 在此基础上 坚持可行性 客观性以及实效性的原则 最后通过制定混合式教学实施水平参照标准 建立混合式教学实施水平实践评价体系 修订高等数学混合式教学内容 有效地提升高校学生的学习深度与质量水平 ,关注 为本 采纳 模式 专业 混合式 教育 实施 水平 实践 关注 为本 采纳 模式 高等数学 混合式 实施 水平 高校 混合式 实施 水平 高等数学 课程 为例 关注 为本 采纳 模式 高等数学 混合式 实施 水平 实践 关注 为本 采纳 模式 作出 系统 阐释 高校 混合式 实施 水平 获取 混合式 实施 现状及 相关 情况 此基础 可行性 客观性 实效性 原则 制定 混合式 实施 水平 参照 标准 混合式 实施 水平 实践 评价 体系 修订 高等数学 混合式 教学内容 高校学生 学习 深度 质量 水平
O1,"一类高维齐次Moran集的Hausdorff维数与上盒维数 {m＿k～d}型齐次Moran集/Hausdorff维数/上盒维数 本文构造一类特殊的高维齐次Moran集:{m_k~d}型齐次Moran集,并得到了满足一定条件的这类集合的Hausdorff维数与上盒维数的表达式.",一类高维齐次 集的 维数与上盒维数 型齐次 集 维数 上盒维数 本文构造一类特殊的高维齐次 集 型齐次 集 并得到了满足一定条件的这类集合的 维数与上盒维数的表达式 ,高维 齐次 维数 盒维数 齐次 维数 上盒 维数 构造 高维 齐次 齐次 条件 这类 集合 维数 盒维数 表达式
O1,混合式教学在高职数学教学改革中的运用策略探析 混合式教学/高职数学/教学改革/运用 高职数学是专业课程体系中的基础部分，旨在培养学生数学应用能力及综合素养。当前课程开展中存在定位不准、教法单一以及实践不强等问题。为了适应教学改革的需求，应根据当前情况应用现代教学手段，切实提升课程开展的效果。混合式教学是将线下授课与线上教学二者进行结合，规避了传统教学模式中课堂效率不高、师生互动性较差、学生主动性不强等问题。本文对混合式教学在高职数学教学改革中的运用进行分析论述，并结合实际提出具体策略，以期帮助学生成人、成才。,混合式教学在高职数学教学改革中的运用策略探析 混合式教学 高职数学 教学改革 运用 高职数学是专业课程体系中的基础部分 旨在培养学生数学应用能力及综合素养 当前课程开展中存在定位不准 教法单一以及实践不强等问题 为了适应教学改革的需求 应根据当前情况应用现代教学手段 切实提升课程开展的效果 混合式教学是将线下授课与线上教学二者进行结合 规避了传统教学模式中课堂效率不高 师生互动性较差 学生主动性不强等问题 本文对混合式教学在高职数学教学改革中的运用进行分析论述 并结合实际提出具体策略 以期帮助学生成人 成才 ,混合式 高职 数学 教学改革 策略 探析 混合式 高职 数学 教学改革 高职 数学 专业 课程体系 基础 旨在 培养 数学 能力 综合 素养 课程 定位 不准 教法 单一 实践 不强 教学改革 需求 当前情况 手段 切实 课程 效果 混合式 线下 授课 二者 规避 传统 教学模式 课堂 效率 不高 师生 互动性 较差 主动性 不强 混合式 高职 数学 教学改革 论述 结合实际 策略 以期 成人 成才
O1,"修正Kawahara方程空间解析半径的下界（英文） 修正Kawahara方程/空间解析半径/Gevrey空间 本文考虑具有三次非线性项的修正Kawahara方程在解析空间中的柯西问题,首先使用线性和三线性估计得到方程在解析空间G~（δ,s）中的局部适定性和方程解的解析半径持续性.然后利用近似守恒律证明全局结论,方程解的解析半径一致有界,且随着时间变化方程解的解析半径衰减不会超过1/|t|.",修正 方程空间解析半径的下界 英文 修正 方程 空间解析半径 空间 本文考虑具有三次非线性项的修正 方程在解析空间中的柯西问题 首先使用线性和三线性估计得到方程在解析空间 中的局部适定性和方程解的解析半径持续性 然后利用近似守恒律证明全局结论 方程解的解析半径一致有界 且随着时间变化方程解的解析半径衰减不会超过 ,修正 方程 空间 解析 半径 下界 英文 修正 方程 空间 解析 半径 空间 三次 非线性 修正 方程 解析 空间 柯西 线性 线性 估计 方程 解析 空间 局部 定性 方程解 解析 半径 持续性 近似 守恒 证明 全局 方程解 解析 半径 时间 变化 方程解 解析 半径 衰减 超过
O1,职业院校公共基础课德智交融课堂的构建与实践——以数学课程为例 公开基础课/德智交融/内涵特征/课堂样态 课堂教学是落实立德树人根本任务的主渠道，既要讲授文化基础知识，又要加强学科德育。德智交融课堂以落实立德树人根本任务为宗旨，以学习为中心，将德育教育、课程思政与学科核心素养有机融合，培养德智体美劳全面发展的高素质劳动者和技术技能人才。构建德智交融课堂的时代价值包括有利于落实立德树人根本任务，有利于提升人才培养质量，有利于青少年形成正确的价值观。通过恰当介绍学科文化、巧用社会热点问题、创设学科实践活动、学科与专业相融通等策略在公共基础课中融入道德教育。,职业院校公共基础课德智交融课堂的构建与实践 以数学课程为例 公开基础课 德智交融 内涵特征 课堂样态 课堂教学是落实立德树人根本任务的主渠道 既要讲授文化基础知识 又要加强学科德育 德智交融课堂以落实立德树人根本任务为宗旨 以学习为中心 将德育教育 课程思政与学科核心素养有机融合 培养德智体美劳全面发展的高素质劳动者和技术技能人才 构建德智交融课堂的时代价值包括有利于落实立德树人根本任务 有利于提升人才培养质量 有利于青少年形成正确的价值观 通过恰当介绍学科文化 巧用社会热点问题 创设学科实践活动 学科与专业相融通等策略在公共基础课中融入道德教育 ,职业院校 公共 基础课 德智 交融 课堂 构建 实践 数学课程 为例 公开 基础课 德智 交融 内涵 特征 课堂 样态 课堂教学 落实 立德 根本任务 主渠道 讲授 文化 基础知识 学科 德育 德智 交融 课堂 落实 立德 根本任务 宗旨 学习 中心 德育教育 课程 思政 学科 核心 素养 有机 融合 培养 德智体美 发展 高素质 劳动者 技术 技能 人才 构建 德智 交融 课堂 时代 价值 包括 有利于 落实 立德 根本任务 有利于 人才培养 质量 有利于 青少年 正确 价值观 恰当 介绍 学科 文化 巧用 社会 热点问题 创设 学科 实践 活动 学科 专业 融通 策略 公共 基础课 融入 道德教育
O1,"OBE教育理念下“数学教学论”课程混合式教学探索 OBE教育理念/高等师范院校/数学教学论 近些年来，高等师范院校“数学教学论”课程为适应基础教育课程改革不断做出调适，但仍存在教学目标不明确、教学资源不丰富、缺乏个性化指导等问题。本文探索OBE(Out Based Education, OBE)教育理念下，从师范生的学习结果、培养目标和毕业要求，反向设计“数学教学论”课程的教学活动和评价标准，并建构“在线教学工具+会议系统”+“线下面授”混合教学模式，整合大学教师和中小学教师的力量，充分利用会议系统的灵活性，及时上传最新、最有针对性的学习资源，并展开讨论和指导，实现双导师一生一问题的有效指导，提高教学效率和学习效果，并带来教、育、学的全新样态。", 教育理念下 数学教学论 课程混合式教学探索 教育理念 高等师范院校 数学教学论 近些年来 高等师范院校 数学教学论 课程为适应基础教育课程改革不断做出调适 但仍存在教学目标不明确 教学资源不丰富 缺乏个性化指导等问题 本文探索 教育理念下 从师范生的学习结果 培养目标和毕业要求 反向设计 数学教学论 课程的教学活动和评价标准 并建构 在线教学工具 会议系统 线下面授 混合教学模式 整合大学教师和中小学教师的力量 充分利用会议系统的灵活性 及时上传最新 最有针对性的学习资源 并展开讨论和指导 实现双导师一生一问题的有效指导 提高教学效率和学习效果 并带来教 育 学的全新样态 ,教育 理念 数学 课程 混合式 探索 教育 理念 高等师范 院校 数学 近些年来 高等师范 院校 数学 课程 基础教育 课程 改革 做出 调适 目标 教学资源 缺乏 个性化 指导 探索 教育 理念 师范生 学习 培养目标 毕业 反向 设计 数学 课程 教学活动 评价 标准 建构 在线 工具 会议 系统 线下 面授 混合 教学模式 整合 大学 教师 中小学 教师 力量 充分利用 会议 系统 灵活性 上传 最新 最有 针对性 学习 资源 展开讨论 指导 导师 一生 指导 提高 效率 学习效果 带来 全新 样态
O1,"基于有限域上奇异线性空间的(m+1,1)型子空间的结合方案的构造（英文） 结合方案/奇异线性空间/有限域/交叉数 基于有限域上的奇异线性空间,定义X为所有包含一个固定的(m-1,0)型的子空间的(m+1,1)型子空间组成的集合,根据X中任意两个子空间的和的不同类型,构造了一个X上类数为5的结合方案.此外,给出了该结合方案的所有交叉数.",基于有限域上奇异线性空间的 型子空间的结合方案的构造 英文 结合方案 奇异线性空间 有限域 交叉数 基于有限域上的奇异线性空间 定义 为所有包含一个固定的 型的子空间的 型子空间组成的集合 根据 中任意两个子空间的和的不同类型 构造了一个 上类数为 的结合方案 此外 给出了该结合方案的所有交叉数 ,有限 奇异 线性 空间 型子 空间 方案 构造 英文 方案 奇异 线性 空间 有限 交叉 有限 奇异 线性 空间 定义 包含 固定 空间 型子 空间组成 集合 任意 空间 类型 构造 上类 数为 方案 给出 方案 交叉
O1,基于大数据的数学建模方法的应用研究 大数据/数学建模/方法/应用 数学建模是一种使用数学方法来模拟和解决实际问题的方法，大数据是一种处理和分析大量数据的方法。基于大数据的数学建模方法则在商业、金融、医疗、社会科学、环境科学等领域都有广泛的应用。基于此，围绕基于大数据的数学建模方法，从该方法的应用意义与基本原则入手，从而对具体的应用实践进行研究，期望能够为数学建模的革新与实践提供有价值的参考依据，使其能够在众多领域中发挥真正的价值。,基于大数据的数学建模方法的应用研究 大数据 数学建模 方法 应用 数学建模是一种使用数学方法来模拟和解决实际问题的方法 大数据是一种处理和分析大量数据的方法 基于大数据的数学建模方法则在商业 金融 医疗 社会科学 环境科学等领域都有广泛的应用 基于此 围绕基于大数据的数学建模方法 从该方法的应用意义与基本原则入手 从而对具体的应用实践进行研究 期望能够为数学建模的革新与实践提供有价值的参考依据 使其能够在众多领域中发挥真正的价值 ,数据 数学 建模 数据 数学 建模 数学 建模 数学方法 模拟 解决 数据 数据 数据 数学 建模 商业 金融 医疗 社会科学 环境 科学 领域 围绕 数据 数学 建模 意义 原则 入手 实践 期望 数学 建模 革新 实践 提供 价值 参考 依据 众多 领域 发挥 价值
O1,具有非局部结构阻尼的非自治梁方程的时间依赖拉回吸引子 结构阻尼/收缩函数/时间依赖拉回吸引子/梁方程 利用时间依赖空间上的过程理论，研究具有非局部结构阻尼的非自治梁方程解的长时间动力学行为.首先，用Faedo-Galerkin逼近方法得到解的适定性；其次，利用能量估计得到该动力系统在相应解空间中拉回吸收集的存在性；最后，用共圈技术和收缩函数的方法证明时间依赖拉回吸引子的存在性.,具有非局部结构阻尼的非自治梁方程的时间依赖拉回吸引子 结构阻尼 收缩函数 时间依赖拉回吸引子 梁方程 利用时间依赖空间上的过程理论 研究具有非局部结构阻尼的非自治梁方程解的长时间动力学行为 首先 用 逼近方法得到解的适定性 其次 利用能量估计得到该动力系统在相应解空间中拉回吸收集的存在性 最后 用共圈技术和收缩函数的方法证明时间依赖拉回吸引子的存在性 ,局部 结构 阻尼 自治 方程 时间 依赖 吸引 结构 阻尼 收缩 函数 时间 依赖 吸引 方程 时间 依赖 空间 过程 理论 局部 结构 阻尼 自治 方程解 长时间 动力学 逼近 定性 能量 估计 动力系统 空间 中拉回 吸收 用共圈 技术 收缩 函数 证明 时间 依赖 吸引
O1,"半群CSP_(n,k)的秩和k方幂等元秩 部分变换半群/k-局部循环群/(k方幂等元)极小生成集/(k方幂等元)秩 设自然数n≥3,P_n和S_n是有限链X_n上的部分变换半群和对称群．对任意的正整数k满足3≤k≤n，令C_k=g_k是X_n上的k-局部循环群且CSP_(n,k)=C_k∪(P_nS_n)，易证CSP_(n, k)是部分变换半群P_n的子半群．通过分析半群CSP_(n,k)的格林关系和幂等元，获得了半群CSP_(n,k)的极小生成集和k方幂等元极小生成集，进一步确定了半群CSP_(n,k)的秩和k方幂等元秩．",半群 的秩和 方幂等元秩 部分变换半群 局部循环群 方幂等元 极小生成集 方幂等元 秩 设自然数 和 是有限链 上的部分变换半群和对称群 对任意的正整数 满足 令 是 上的 局部循环群且 易证 是部分变换半群 的子半群 通过分析半群 的格林关系和幂等元 获得了半群 的极小生成集和 方幂等元极小生成集 进一步确定了半群 的秩和 方幂等元秩 ,半群 方幂 变换 半群 局部 循环群 方幂 极小 生成 方幂 自然数 有限 变换 半群 对称 任意 正整数 局部 循环群 易证 变换 半群 半群 半群 格林 关系 半群 极小 生成 方幂 极小 生成 进一步 半群 方幂
