class,text
O1,一类肿瘤-免疫模型的稳定性与Hopf分支分析 肿瘤-免疫模型/稳定性/Hopf分支/超临界 考虑一类肿瘤-免疫模型，讨论其平衡点的存在性条件，并利用特征方程分析各平衡点的局部动力学稳定性，证明该模型在相应条件下会发生Hopf分支.通过计算第一Lyapunov系数得出：如果系数不为零，则模型发生Hopf分岔；如果系数小于零，则分岔是超临界的；如果系数大于零，则分岔是次临界的.最后利用数值模拟验证理论分析结果.
O1,非线性变系数Bagley-Torvik方程的积分边值问题 非线性变系数Bagley-Torvik方程/积分边值/Fredholm-Hammerstein积分方程/数值解 研究了一类非线性变系数Bagley-Torvik方程的积分边值问题。对非线性变系数Bagley-Torvik方程进行多次积分得到与之等价的Fredholm-Hammerstein积分方程，利用分段泰勒级数得到Fredholm-Hammerstein积分方程的数值解。通过例题验证了此方法的可行性与有效性，并给相应的误差估计。
O1,具有化学引诱剂消耗的Keller-Segel模型的爆破时间的下界 Keller-Segel模型/下界/先验估计 研究了定义在有界区域Ω?R~3上的具有化学引诱剂消耗的Keller-Segel模型，利用微分不等式和文献中的先验估计，得到了方程解的爆破时间的下界.
O1,"一个五阶Camassa-Holm方程的爆破准则和全局解研究 五阶Camassa-Holm方程/Besov空间/爆破准则/全局解 本文主要研究了y_t+2u_xy+uy_x=0,y=(1-?_x~2)~2u这个五阶CamassaHolm方程所对应的Cauchy问题的爆破准则和全局解的存在性.利用该方程的特殊结构和■守恒律,本文在■中建立了两个爆破准则:解u的■范数或者u_(xx)的■范数在最大存在时间区域内的积分值爆破.此外,本文利用爆破准则给出了全局解存在的两个充分条件."
O1,"Heisenberg群中带奇异权的最优临界Hardy-Trudinger-Moser不等式 Heisenberg群/奇异权函数/Trudinger-Moser不等式/Hardy-Trudinger-Moser不等式 本文建立了Heisenberg群中有界域和一般无界域上带奇异权的最优临界Hardy-Trudinger-Moser不等式.克服临界Hardy不等式和奇异权函数带来的困难,利用带奇异权的Trudinger-Moser不等式和一些基本估计建立了有界域上一般的带奇异权的临界Hardy-Trudinger-Moser不等式,并通过选取适当的Moser函数得到了最佳常数.最后,利用分割积分区域的方法得到了一般无界域上带奇异权的最优临界Hardy-Trudinger-Moser不等式."
O1,"具有最大项的模糊微分包含的平均法 微分包含/模糊/最大项/平均法 通过引入模糊映射的定义,性质以及半离差概念,应用不等式技巧和Filippov定理,讨论了具有最大项的模糊微分包含解的平均问题,分别给出了右端模糊函数平均极限存在和不存在两种情况下,模糊微分包含和模糊平均包含的解之间的近似关系."
O1,"一类非线性薛定谔方程的涡环解 非线性薛定谔方程/涡环解/常微分方程 本文考虑一类非线性薛定谔方程的涡环解.特别地,对二维非线性薛定谔方程,当径向磁场,电场满足恰当的符号条件时,证明了其存在任意指定的零点个数的非径向解,并且该解在无穷远处指数衰减.特别地,库伦位势,反平方位势,阶梯形位势等经典物理情形满足本文的条件.为了证明主要结果,除了使用靶向法处理约化的常微分方程外,本文主要引进了一个新的Pohozaev恒等式和辅助泛函,以及若干恰当函数变换."
O1,"循环模及有限生成模的McCoy性 McCoy环/McCoy模/循环模/有限生成模 本文研究了McCoy环上的循环模和有限生成模的McCoy性,得到一定条件下, McCoy环上的左循环模是McCoy模,并分别给出了一个McCoy环上的单模均为McCoy模,以及一个非McCoy环上的单模是McCoy模的例子.最后证明在一定条件下,环R上的有限生成自由模是McCoy模的充要条件是环R为McCoy环."
O1,"基于(p,q)-SzáSz-Mirakyan-Baskakov-Stancu算子的逼近性质 (p/q)-整数/SzáSz-Mirakyan-Baskakov算子/加权逼近 本文讨论(p, q)-SzáSz-Mirakyan-Baskakov算子的Stancu型推广.研究了新算子的加权逼近性质,并利用适当的连续模给出了收敛速度.同时,利用K函数的方法对(p, q)-SzáSz-Mirakyan-Baskakov算子进行了改进,讨论了其逼近性质."
O1,"具有新颖解的四分量DNLS方程（英文） 广义耦合DNLS方程/达布变换/怪波解/U形波 本文提出了一个可积的四分量DNLS方程,并发现该方程具有有趣的解.例如,它有一个类似孤子-怪波的解,其中的两个分量是孤子和两个分量是怪波.最有趣的是,两个分量怪波呈指数递减.这与经典的怪波非常不同,它是有理或半有理的,并且以|x|~(-n)的速度衰减."
O1,"离散对象的计数 离散对象/计数/生成函数/格路计数 本文从集合概念出发,分别就重集,全序和偏序集,计数基本原理等内容,汇总了线状和环状的排列与组合,整数分析对应的标准和半标准杨表计数的常用计数解题的方法和技巧.随后从生成函数,格路计数和Polya计数定理等方面,用实例的方法说明它们在离散对象计数方面的应用.最后,通过求解化学中同分异构体计数问题的简短编程,介绍了计算机辅助软件Maple在快速高效求解离散对象计数问题方面的作用."
O1,"基于有限域上奇异线性空间的(m+1,1)型子空间的结合方案的构造（英文） 结合方案/奇异线性空间/有限域/交叉数 基于有限域上的奇异线性空间,定义X为所有包含一个固定的(m-1,0)型的子空间的(m+1,1)型子空间组成的集合,根据X中任意两个子空间的和的不同类型,构造了一个X上类数为5的结合方案.此外,给出了该结合方案的所有交叉数."
O1,"某些Foutain半群上的同余（英文） 弱富足半群/Rees矩阵半群/单幺半群/(～)-好同余 称幺半群T上的Rees矩阵半群M=M(T;I,Λ;P)为紧的,如果P中的元素来自T中的单位群H.研究了幺半群T的性质与紧Rees矩阵半群M=M(T;I,Λ;P)之间的关系,证明了一个紧的Rees矩阵半群M=M(T;I,Λ;P)同构于一个正规的紧Rees矩阵半群M=M(T;I,Λ;Q),且得到了弱超富足半群T上紧Rees矩阵半群(～)-好同余的一些性质."
O1,"Maass形式的傅里叶系数在算术级数中的渐近性（英文） 傅里叶系数/Maass尖形式/Rankin-Selberg/L-函数 自守形式理论是现代数论的重要课题.自守形式的傅里叶系数蕴含了深刻的数论性质,其在数论中有许多应用.设f是本原Maass尖形式,λ_f(n)是它在尖点无穷远处的第n个傅里叶系数.结合经典的解析方法和一些本原自守L-函数的性质,本文研究了全模群上Maass尖形式的傅里叶系数在算术级数上的分布性质,得到了相应的渐近公式."
O1,向量混合积与四面体体积公式的联系与应用 四面体体积/向量混合积/解析几何 在解析几何中求解四面体的体积，传统的方法是选取一个顶点作为原点，并使用从这个顶点出发的三个不共面的向量，通过计算它们的混合积来得到四面体的体积。然而，实际上只需要从四个顶点中选择任意三个不共线的向量，计算它们的混合积即可求解四面体的体积。提出了一种更加通用的方法，利用向量混合积来求解四面体的体积，并且证明了此方法的准确性。最后，通过一个数值算例来说明这种方法的简便性和有效性。
O1,"Banach代数中反三角算子矩阵的Hirano逆 Hirano逆/三幂等元/幂零元/Banach代数 文章主要研究Banach代数上反三角算子矩阵的Hirano逆.假设a∈A~H,b∈A~(sD).如果b~Da=0,bab~π=0,证明了■具有Hirano逆，进而研究了反三角算子矩阵在弱交换条件下的Hirano逆.由此获得了新的可以分解为三幂等元与幂零元和的算子矩阵."
O1,"一类双曲守恒律方程组退化Goursat问题整体光滑解的存在性 双曲守恒律方程组/特征分解/退化Goursat问题/平面稀疏波 针对一类双曲守恒律方程组退化Goursat问题，研究其整体光滑解的存在性.首先，引入特征角α,β,建立α,β和压力P的特征分解；其次，利用α,β的特征分解得到不变区域，进而得到特征角的最大模估计；最后，通过压力P的特征分解以及连续性方法建立解的梯度估计，从而证明退化Goursat问题解的存在性."
O1,具p-双调和算子的非局部椭圆方程Navier边值问题的广义解 非局部椭圆方程/Navier边值问题/p-双调和算子/变分方法 利用变分方法和相应的临界点定理研究一类具有p-双调和算子的非局部椭圆方程Navier边值问题，在非线性项满足超线性条件时，得到了两个非平凡广义解的存在性定理.
O1,具有非局部结构阻尼的非自治梁方程的时间依赖拉回吸引子 结构阻尼/收缩函数/时间依赖拉回吸引子/梁方程 利用时间依赖空间上的过程理论，研究具有非局部结构阻尼的非自治梁方程解的长时间动力学行为.首先，用Faedo-Galerkin逼近方法得到解的适定性；其次，利用能量估计得到该动力系统在相应解空间中拉回吸收集的存在性；最后，用共圈技术和收缩函数的方法证明时间依赖拉回吸引子的存在性.
O1,循环纯phantom态射 循环纯/循环纯phantom态射/预覆盖 通过引入循环纯phantom态射的概念，给出循环纯phantom态射的一些等价刻画，证明每个R-模都有核为循环纯内射模的满的循环纯phantom覆盖，并讨论循环纯phantom预覆盖在环变换下的传递性.
O1,量子Loop代数U_q(L(■))的单权模 量子Loop代数/权模/单模/Dense模 用构造的方法解决量子Loop代数U_q(L(■))具有一个一维权空间的单权模的结构问题，得到了任意一个具有一维权空间的单权模必同构于U_q(L(■))的四类单权模之一.此外，还构造了一类权空间维数为2的既非最高权也非最低权的量子Loop代数U_q(L(■))的单权模.
O1,一类von Kármán方程的解的存在唯一性 von/Kármán方程/Galerkin方法/存在唯一性 文中考虑了一类非线性非局部发展von Kármán方程。为了分析该方程，首先采用Galerkin方法研究了一个线性问题，得到了线性问题的解的存在唯一性。然后利用压缩映射原理和不动点理论，得到了该von Kármán方程的解的存在唯一性。
